send_time          ,time_process          ,image_count ,time_received
1733409596.8835156 , 0.0154266357421875   ,      224.0 ,1733409596.889384
1733409596.9208126 , 0.014990568161010742 ,      225.0 ,1733409596.957665
1733409596.9525044 , 0.014196157455444336 ,      226.0 ,1733409596.957665
1733409596.9898465 , 0.015571832656860352 ,      227.0 ,1733409597.033799
1733409597.0247169 , 0.01423335075378418  ,      228.0 ,1733409597.033799
1733409597.056862  , 0.014035224914550781 ,      229.0 ,1733409597.089035
1733409597.0897925 , 0.015202522277832031 ,      230.0 ,1733409597.14884
1733409597.1249893 , 0.014254331588745117 ,      231.0 ,1733409597.14884
1733409597.1576338 , 0.015282869338989258 ,      232.0 ,1733409597.209155
1733409597.1928704 , 0.014177322387695312 ,      233.0 ,1733409597.209155
1733409597.2241416 , 0.013782978057861328 ,      234.0 ,1733409597.3459468
1733409597.2587004 , 0.014416694641113281 ,      235.0 ,1733409597.3459468
1733409597.2905297 , 0.014610528945922852 ,      236.0 ,1733409597.3459468
1733409597.3247526 , 0.014833688735961914 ,      237.0 ,1733409597.3459468
1733409597.3584325 , 0.015197038650512695 ,      238.0 ,1733409597.4087481
1733409597.3911736 , 0.013979911804199219 ,      239.0 ,1733409597.4087481
1733409597.4241579 , 0.01534414291381836  ,      240.0 ,1733409597.467874
1733409597.467031  , 0.01502370834350586  ,      241.0 ,1733409597.467874
1733409597.5020971 , 0.015218496322631836 ,      242.0 ,1733409597.538135
1733409597.53727   , 0.016318321228027344 ,      243.0 ,1733409597.598697
1733409597.5680811 , 0.013683557510375977 ,      244.0 ,1733409597.598697
1733409597.6040905 , 0.014227867126464844 ,      245.0 ,1733409597.658056
1733409597.6394656 , 0.017821311950683594 ,      246.0 ,1733409597.658056
1733409597.6746013 , 0.016058683395385742 ,      247.0 ,1733409597.7189991
1733409597.705049  , 0.014672279357910156 ,      248.0 ,1733409597.7189991
1733409597.7371907 , 0.013824701309204102 ,      249.0 ,1733409597.781753
1733409597.770069  , 0.015045166015625    ,      250.0 ,1733409597.781753
1733409597.8014216 , 0.014112234115600586 ,      251.0 ,1733409597.8433971
1733409597.8325586 , 0.01358795166015625  ,      252.0 ,1733409597.8433971
1733409597.8680365 , 0.01624584197998047  ,      253.0 ,1733409597.916791
1733409597.9024353 , 0.017292261123657227 ,      254.0 ,1733409597.916791
